[2025-06-01 20:21:16] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 20:23:05] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6548527691 - 5 messages
[2025-06-01 20:23:20] User: 6548527691 | Action: CHATAI_START | Details: 
[2025-06-01 20:27:06] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 20:27:06] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 20:27:51] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6548527691 - 5 messages
[2025-06-01 20:28:05] User: 6548527691 | Action: CHATAI_START | Details: 
[2025-06-01 20:30:51] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6548527691 - 1 messages
[2025-06-01 20:31:04] User: 6548527691 | Action: CHATAI_START | Details: 
[2025-06-01 20:33:42] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 20:33:42] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 20:39:37] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6548527691 - 1 messages
[2025-06-01 20:40:04] User: 6548527691 | Action: CHATAI_START | Details: 
[2025-06-01 20:51:43] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 20:51:43] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 20:51:50] User: 6031862760 | Action: CHECK_STATS | Details: 
[2025-06-01 20:52:40] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6548527691 - 1 messages
[2025-06-01 20:52:53] User: 6548527691 | Action: CHATAI_START | Details: 
[2025-06-01 20:57:29] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 20:57:29] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 20:57:45] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6548527691 - 1 messages
[2025-06-01 20:57:55] User: 6548527691 | Action: CHATAI_START | Details: 
[2025-06-01 20:58:30] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6548527691 - 1 messages
[2025-06-01 20:58:39] User: 7073749415 | Action: REMOVE_TEST_PERMISSION | Details: 6548527691
[2025-06-01 21:02:39] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:02:39] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:38:31] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:38:31] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:39:01] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-01 21:42:48] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:42:48] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:43:26] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:43:26] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:43:28] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-01 21:45:56] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:45:56] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:46:48] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:46:48] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:47:55] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-01 21:52:29] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:52:29] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 21:52:51] User: 7073749415 | Action: GRANT_TEST_ALL | Details: Success: 11, Failed: 0
[2025-06-01 21:53:00] User: 7651762204 | Action: START_BOT | Details: 
[2025-06-01 21:53:09] User: 7651762204 | Action: START_BOT | Details: 
[2025-06-01 21:53:27] User: 7651762204 | Action: START_BOT | Details: 
[2025-06-01 21:55:23] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-01 22:02:46] User: 7073749415 | Action: GRANT_PERMISSION | Details: 7952882415
[2025-06-01 22:29:46] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-01 22:37:21] User: 6031862760 | Action: CHECK_STATS | Details: 
[2025-06-01 22:43:07] User: 6587891812 | Action: START_BOT | Details: 
[2025-06-01 22:49:47] User: 6587891812 | Action: CHECK_STATS | Details: 
[2025-06-01 22:49:48] User: 5470321108 | Action: START_BOT | Details: 
[2025-06-01 22:50:10] User: 7444696176 | Action: NEWS_CHECK | Details: 
[2025-06-01 22:50:15] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6587891812 - 5 messages
[2025-06-01 22:50:28] User: 5470321108 | Action: CHECK_STATS | Details: 
[2025-06-01 22:50:41] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 5470321108 - 5 messages
[2025-06-01 22:50:42] User: 5470321108 | Action: CHATAI_START | Details: 
[2025-06-01 22:51:05] User: 7444696176 | Action: BROADCAST_MESSAGE | Details: Success: 16, Failed: 0
[2025-06-01 22:52:28] User: 5470321108 | Action: CHECK_STATS | Details: 
[2025-06-01 22:53:58] User: 5253329101 | Action: START_BOT | Details: 
[2025-06-01 22:56:03] User: 5253329101 | Action: CHECK_STATS | Details: 
[2025-06-01 22:56:22] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 5253329101 - 5 messages
[2025-06-01 22:58:21] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 22:58:21] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 22:59:39] User: 5253329101 | Action: CHECK_STATS | Details: 
[2025-06-01 23:02:47] User: 5253329101 | Action: CHECK_STATS | Details: 
[2025-06-01 23:03:25] User: 7073749415 | Action: GRANT_TEST_ALL | Details: Success: 14, Failed: 0
[2025-06-01 23:04:21] User: 6904634367 | Action: START_BOT | Details: 
[2025-06-01 23:05:45] User: 6628250996 | Action: CHATAI_START | Details: 
[2025-06-01 23:12:26] User: 7444696176 | Action: BROADCAST_MESSAGE | Details: Success: 18, Failed: 0
[2025-06-01 23:16:59] User: 6817969248 | Action: START_BOT | Details: 
[2025-06-01 23:17:27] User: 6817969248 | Action: START_BOT | Details: 
[2025-06-01 23:44:58] User: 6847683848 | Action: CHATAI_START | Details: 
[2025-06-02 00:30:24] User: 7444696176 | Action: CHATAI_START | Details: 
[2025-06-02 02:21:40] User: 7271230624 | Action: START_BOT | Details: 
[2025-06-02 02:30:49] User: 5253329101 | Action: CHATAI_START | Details: 
[2025-06-02 06:12:40] User: 7271230624 | Action: CHECK_STATS | Details: 
